knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K12410	220.20	domain	all	0.788179	5290	4550	1833	331	6.11	0.590	NAD-dependent protein deacetylase/lipoamidase [EC:2.3.1.286 2.3.1.313]
K12411	111.63	domain	all	0.955391	57	56	1369	459	4.80	0.590	homeobox protein YOX1/YHP1
K12412	181.93	domain	trim	0.507357	420	382	1991	268	6.39	0.590	pheromone receptor transcription factor
K12413	131.80	full	all	0.952137	19	19	911	358	1.89	0.591	G1-specific transcriptional repressor WHI5
K12414	570.63	full	all	1.000000	20	20	780	591	1.20	0.589	DNA replication licensing factor, required for pre-replication complex assembly
K12415	77.53	full	all	1.000000	32	10	49	41	1.76	1.336	competence-stimulating peptide
K12416	63.80	full	all	1.000000	19	19	357	163	1.77	0.590	anaphase-promoting complex subunit SWM1
K12417	840.87	full	all	0.962609	469	459	2450	697	1.49	0.590	acyl-CoA thioesteraes 11 [EC:3.1.2.-]
K12418	338.47	full	trim	0.986667	40	35	744	437	1.61	0.591	acyl-lipid (7-3)-desaturase (Delta-4 desaturase) [EC:1.14.19.31]
K12419	307.93	full	all	0.996047	397	382	1560	477	2.53	0.590	fatty acid desaturase 6 [EC:1.14.19.-]
K12420	296.77	domain	all	0.997050	183	170	360	261	0.82	0.589	ketoreductase [EC:1.1.1.-]
K12421	1249.30	full	all	0.989881	349	303	1887	1174	1.53	0.591	fatty acid CoA ligase FadD9
K12422	704.80	full	all	1.000000	82	56	647	532	0.69	0.591	long chain fatty acid CoA ligase FadD10 [EC:6.2.1.-]
K12423	955.90	full	all	0.952357	153	98	669	579	0.80	0.588	fatty acid CoA ligase FadD21
K12424	560.23	domain	all	0.867725	84	48	906	491	1.28	0.589	4-hydroxybenzoate adenylyltransferase [EC:6.2.1.50]
K12425	1329.67	full	all	0.888889	37	6	598	581	0.45	0.589	long-chain fatty acid adenylase/transferase FadD23 [EC:6.2.1.57]
K12426	903.10	full	all	0.783392	128	92	796	580	1.09	0.590	long-chain fatty acid adenylase/transferase FadD26 [EC:6.2.1.59]
K12427	988.40	full	trim	0.896226	194	109	1111	579	0.72	0.589	long-chain fatty acid adenylyltransferase FadD28 [EC:6.2.1.49]
K12428	811.87	full	all	0.979760	432	353	882	607	1.16	0.590	fatty acid CoA ligase FadD32
K12429	648.40	domain	all	0.981758	357	307	824	465	0.91	0.590	fatty acid CoA ligase FadD36
K12430	3414.50	domain	all	0.554578	104	72	3809	2143	1.35	0.591	4-hydroxyphenylalkanoate synthase [EC:2.3.1.261]
K12431	3693.93	domain	all	0.681481	44	19	2392	2117	1.03	0.592	phthioceranic/hydroxyphthioceranic acid synthase [EC:2.3.1.287]
K12432	3729.70	domain	all	0.869353	70	44	2226	2095	0.67	0.591	mycolipanoate synthase [EC:2.3.1.252]
K12433	3521.27	domain	all	0.718024	174	146	3593	2098	1.09	0.592	polyketide synthase 5
K12434	2604.80	domain	trim	0.395478	177	134	3870	1809	1.44	0.591	polyketide synthase 7
K12435	2586.47	domain	all	0.664646	41	22	2177	1517	1.00	0.591	polyketide synthase 8
K12436	3681.80	domain	all	0.957729	86	74	6733	4117	0.85	0.590	mycoketide-CoA synthase [EC:2.3.1.295]
K12437	1201.17	domain	all	0.989874	407	349	3086	1628	1.17	0.589	polyketide synthase 13
K12439	860.30	domain	all	0.466667	45	18	644	499	1.28	0.591	polyketide synthase 17
K12440	1990.90	domain	all	0.898470	87	68	2207	1832	1.07	0.590	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase A [EC:2.3.1.292]
K12441	1908.17	domain	all	0.815837	110	83	3290	1537	1.07	0.590	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase B [EC:2.3.1.292]
K12442	2916.30	domain	trim	0.908745	64	32	2429	2168	0.74	0.591	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase C [EC:2.3.1.292]
K12443	1997.77	domain	all	0.910478	125	100	3500	2125	1.27	0.590	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase D [EC:2.3.1.292]
K12444	2111.30	domain	all	0.992248	94	65	1661	1482	0.78	0.590	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase E [EC:2.3.1.292]
K12445	707.47	full	all	1.000000	61	28	464	418	0.57	0.592	trans enoyl reductase [EC:1.3.1.-]
K12446	1332.47	full	all	0.997455	208	199	1656	984	0.80	0.590	L-arabinokinase [EC:2.7.1.46]
K12447	469.53	full	all	0.989971	257	250	5106	1048	3.09	0.590	UDP-sugar pyrophosphorylase [EC:2.7.7.64]
K12448	485.23	full	trim	0.786984	691	594	1044	462	1.45	0.591	UDP-arabinose 4-epimerase [EC:5.1.3.5]
K12449	297.67	full	all	0.995008	338	303	894	407	1.25	0.591	UDP-apiose/xylose synthase
K12450	612.67	full	all	0.959546	543	515	1868	797	2.23	0.589	UDP-glucose 4,6-dehydratase [EC:4.2.1.76]
K12451	531.13	domain	all	0.825158	271	242	719	312	1.19	0.589	3,5-epimerase/4-reductase [EC:5.1.3.- 1.1.1.-]
K12452	650.83	full	all	0.796942	625	526	1138	486	2.22	0.590	CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]
K12453	300.20	full	all	0.739936	85	50	382	290	2.46	0.590	CDP-paratose synthetase [EC:1.1.1.342]
K12454	278.47	full	all	0.993787	604	567	984	600	2.92	0.590	CDP-paratose 2-epimerase [EC:5.1.3.10]
K12455	301.73	full	all	0.465351	35	15	373	295	1.70	0.591	CDP-abequose synthase [EC:1.1.1.341]
K12456	41.90	full	all	0.978494	701	365	389	134	6.56	0.590	anaphase-promoting complex subunit 13
K12457	264.03	full	trim	0.966520	190	155	692	277	1.58	0.591	neurotrophin 4
K12458	474.20	domain	all	0.978180	142	138	3198	736	1.13	0.589	zinc finger protein 274
K12459	579.13	full	all	0.925451	700	684	4129	612	2.85	0.590	SH2B adaptor protein 1/3
K12460	453.00	domain	all	0.997840	707	697	9073	1650	2.29	0.590	ankyrin repeat-rich membrane spanning protein
K12461	432.07	full	all	0.827566	553	487	2264	464	4.25	0.590	fibroblast growth factor receptor substrate 2
K12462	44.40	full	all	0.992541	2276	1863	3046	311	5.46	0.590	Rho GDP-dissociation inhibitor
K12463	475.50	domain	all	0.991957	403	378	3605	924	2.20	0.590	PR domain zinc finger protein 4 [EC:2.1.1.-]
K12464	1298.23	full	all	1.000000	132	124	1185	783	0.56	0.593	melanoma-associated antigen D1
K12465	196.93	full	all	0.994872	157	100	328	191	1.34	0.591	nerve growth factor receptor-associated protein 1
K12466	370.73	full	all	0.926822	143	133	325	278	0.83	0.591	(+)-trans-carveol dehydrogenase [EC:1.1.1.275]
K12467	1076.20	full	all	0.711111	16	16	678	594	0.82	0.590	myrcene/ocimene synthase [EC:4.2.3.15]
K12469	959.67	full	trim	0.927183	414	358	1187	546	1.00	0.589	EH domain-containing protein 2
K12470	582.43	full	trim	0.927866	402	391	2487	716	3.31	0.590	SH3 domain-containing kinase-binding protein 1
K12471	299.10	full	all	0.820892	2745	2656	11892	590	8.12	0.590	epsin
K12472	268.53	domain	all	0.931794	1716	1666	15167	890	9.39	0.590	epidermal growth factor receptor substrate 15
K12473	1236.83	domain	all	0.950498	406	403	3302	864	1.45	0.590	low-density lipoprotein receptor
K12474	131.03	full	all	0.964696	1028	987	2787	354	6.63	0.590	low density lipoprotein receptor adapter protein 1
K12475	314.47	full	trim	0.952300	598	579	8325	858	4.98	0.590	disabled homolog 2
K12476	1020.20	full	trim	0.883865	425	319	1251	547	1.29	0.590	EH domain-containing protein 3
K12477	981.43	full	all	0.930810	373	306	1333	557	1.17	0.590	EH domain-containing protein 4
K12478	180.37	domain	all	0.989595	434	431	4213	1760	4.67	0.590	early endosome antigen 1
K12479	311.50	full	all	0.986557	1022	962	4754	806	3.12	0.590	vacuolar protein sorting-associated protein 45
K12480	203.90	domain	all	0.991514	610	592	3655	957	4.02	0.590	Rab GTPase-binding effector protein 1
K12481	88.40	full	all	0.996066	782	764	4565	748	9.03	0.590	rabenosyn-5
K12482	777.80	full	all	0.953181	971	926	4298	730	2.36	0.590	RUN and FYVE domain-containing protein 1/2
K12483	702.60	domain	trim	0.405952	1123	987	3235	771	2.81	0.590	EH domain-containing protein 1
K12484	85.20	domain	all	0.995186	1487	1454	11307	734	5.44	0.590	Rab11 family-interacting protein 1/2/5
K12485	143.33	full	all	0.990754	1055	1020	6656	756	4.63	0.590	Rab11 family-interacting protein 3/4
K12486	196.40	domain	all	0.928846	2417	2285	7501	472	7.88	0.590	stromal membrane-associated protein
K12487	1086.53	full	all	0.772362	696	676	3685	792	2.34	0.590	G protein-coupled receptor kinase interactor 2
K12488	410.63	domain	all	0.983897	1785	1768	10072	1000	3.91	0.590	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein
K12489	388.87	domain	all	0.987638	2074	2004	10536	812	3.46	0.590	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein
K12490	1674.70	full	all	0.993230	374	372	3882	1738	1.18	0.590	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3
K12491	1100.17	full	all	0.783278	993	968	7615	906	2.17	0.590	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1/3/4/5/6/9/11
K12492	272.20	domain	all	0.931125	1119	1079	4205	731	6.21	0.590	ADP-ribosylation factor GTPase-activating protein 1
K12493	196.13	full	all	0.977217	1533	1465	5048	745	5.65	0.590	ADP-ribosylation factor GTPase-activating protein 2/3
K12494	258.37	full	all	0.993986	1690	1673	12197	853	3.86	0.590	PH and SEC7 domain-containing protein
K12495	273.83	domain	all	0.997495	1624	1602	11397	996	3.03	0.590	IQ motif and SEC7 domain-containing protein
K12496	489.90	domain	all	0.953377	451	415	1756	508	2.02	0.590	early growth response protein 2
K12497	486.97	domain	all	0.946534	371	275	2491	595	1.83	0.590	early growth response protein 3
K12498	311.23	domain	all	0.973187	420	404	1467	557	2.19	0.590	early growth response protein 4
K12499	137.83	domain	trim	0.859563	259	222	418	165	2.90	0.590	C-C motif chemokine 5
K12500	121.10	domain	trim	0.924195	778	493	271	138	3.10	0.590	thioesterase III [EC:3.1.2.-]
K12501	284.67	full	all	0.972942	229	219	1392	563	2.38	0.590	homogentisate solanesyltransferase [EC:2.5.1.117]
K12502	259.50	full	all	1.000000	315	286	667	339	0.90	0.592	MPBQ/MSBQ methyltransferase [EC:2.1.1.295]
K12503	335.97	full	all	0.986292	1220	1072	822	355	2.21	0.590	short-chain Z-isoprenyl diphosphate synthase [EC:2.5.1.68]
K12504	437.23	full	all	0.962635	652	608	1663	445	2.09	0.591	decaprenyl-diphosphate synthase subunit 1 [EC:2.5.1.91]
K12505	280.93	full	all	0.985788	712	679	2614	801	4.20	0.590	decaprenyl-diphosphate synthase subunit 2 [EC:2.5.1.91]
K12506	320.67	full	all	0.995572	1369	1239	1479	472	2.72	0.590	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]
K12507	599.77	domain	all	0.813602	467	379	1065	544	2.92	0.590	acyl-CoA synthetase [EC:6.2.1.-]
K12508	294.93	domain	all	0.978486	785	728	1691	742	2.74	0.590	feruloyl-CoA synthase [EC:6.2.1.34]
K12509	85.30	full	all	1.000000	31	24	221	167	1.82	0.590	pilus assembly protein RcpB
K12510	86.80	domain	all	0.937743	4337	3918	5503	335	19.43	0.590	tight adherence protein B
K12511	137.17	domain	all	0.951210	3262	2951	2137	365	17.20	0.590	tight adherence protein C
K12512	180.70	full	all	1.000000	171	138	616	325	3.64	0.590	tight adherence protein D
K12513	53.03	full	all	0.996564	182	147	410	194	4.56	0.590	tight adherence protein E
K12514	69.67	full	all	0.993528	189	156	457	202	5.37	0.590	tight adherence protein F
K12515	209.10	full	all	1.000000	172	147	1438	506	4.75	0.590	tight adherence protein G
K12516	151.87	domain	trim	0.816082	175	115	5607	1430	6.85	0.590	putative surface-exposed virulence protein
K12517	219.83	full	all	1.000000	23	17	214	192	0.77	0.588	major pilin subunit PapA
K12518	918.10	full	all	0.968212	774	614	1328	822	1.83	0.589	outer membrane usher protein PapC
K12519	275.30	full	all	0.940983	780	530	466	248	2.36	0.590	chaperone protein PapD
K12520	329.00	full	all	1.000000	14	9	182	179	0.51	0.587	minor pilin subunit PapE
K12521	162.50	full	all	0.952381	22	11	217	174	1.00	0.589	minor pilin subunit PapF
K12522	652.50	full	all	1.000000	12	11	342	336	0.46	0.589	adhesin PapG
K12523	250.57	full	all	1.000000	16	9	202	188	0.67	0.590	minor pilin subunit PapK
K12524	764.83	full	all	0.963730	2102	1815	2507	999	3.65	0.590	bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]
K12525	788.27	full	all	0.995522	782	561	1010	814	1.40	0.591	bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]
K12526	662.30	full	all	1.000000	176	153	1017	859	1.06	0.589	bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]
K12527	519.20	full	all	0.993988	305	251	1464	1014	1.70	0.589	putative selenate reductase [EC:1.97.1.9]
K12528	838.93	full	all	0.994285	316	261	1743	905	1.37	0.590	putative selenate reductase molybdopterin-binding subunit
K12529	183.10	full	all	0.979008	180	122	373	258	2.87	0.590	putative selenate reductase FAD-binding subunit
K12530	957.17	domain	all	0.976118	139	108	802	699	1.07	0.590	ATP-binding cassette, subfamily B, bacterial RtxB
K12531	968.97	domain	all	0.990338	147	105	806	703	1.02	0.589	ATP-binding cassette, subfamily B, bacterial RtxE
K12532	569.70	full	all	0.983956	141	96	505	453	1.21	0.590	membrane fusion protein, RTX toxin transport system
K12536	507.87	domain	all	0.994446	1886	1718	2405	679	2.82	0.590	ATP-binding cassette, subfamily C, type I secretion system permease/ATPase
K12537	381.77	domain	all	0.968141	1845	1635	1647	781	4.33	0.590	membrane fusion protein, type I secretion system
K12538	430.13	full	all	0.906121	448	394	1097	455	4.90	0.590	outer membrane protein, type I secretion system
K12541	657.47	domain	trim	0.900895	2321	2073	3913	820	6.99	0.590	ATP-binding cassette, subfamily C, bacterial LapB
K12542	390.30	full	all	0.963718	2243	1914	1634	511	4.96	0.590	membrane fusion protein, adhesin transport system
K12543	295.07	domain	all	0.853076	2062	1806	4037	623	19.37	0.590	outer membrane protein, adhesin transport system
K12544	285.23	domain	all	1.000000	5	4	1351	1020	0.93	0.591	S-layer protein
K12545	59.70	full	all	1.000000	190	131	452	206	3.47	0.590	heme acquisition protein HasA
K12546	-	-	-	-	1	1	284	284	0.37	0.585	putative nodulation protein
K12547	746.33	full	all	0.983740	64	63	688	497	1.11	0.589	polysaccharidase protein
K12548	133.87	domain	all	0.986662	131	115	595	303	2.19	0.590	autoaggregation protein RapA/B/C
K12549	4501.67	full	all	0.957661	49	49	30930	6376	2.07	0.590	surface adhesion protein
K12550	1097.13	full	all	0.944359	154	149	1124	712	1.21	0.590	lactoperoxidase [EC:1.11.1.7]
K12551	343.23	full	all	0.889894	130	62	423	273	2.47	0.590	monofunctional glycosyltransferase [EC:2.4.1.129]
K12552	931.03	full	all	0.993939	127	82	825	726	0.80	0.590	penicillin-binding protein 1 [EC:3.4.-.-]
K12553	991.90	full	all	1.000000	121	78	784	684	0.65	0.588	penicillin-binding protein 3 [EC:3.4.-.-]
K12554	439.93	full	all	0.869362	343	260	598	416	2.97	0.590	alanine adding enzyme [EC:2.3.2.-]
K12555	765.77	full	all	0.961498	992	801	2254	815	2.62	0.590	penicillin-binding protein 2A [EC:2.4.1.129 3.4.16.4]
K12556	829.77	domain	all	0.982244	240	173	864	748	1.12	0.589	penicillin-binding protein 2X
K12557	1726.60	domain	all	0.980884	381	374	4054	1239	0.63	0.589	myosin-binding protein C, slow-type
K12558	1918.93	domain	trim	0.936714	390	387	3494	1204	0.85	0.590	myosin-binding protein C, fast-type
K12559	1790.43	full	all	0.999264	679	677	5254	2052	0.90	0.590	myosin X
K12560	476.33	domain	all	0.797136	158	157	1441	502	3.25	0.590	low affinity immunoglobulin gamma Fc receptor II-b
K12561	147.57	full	all	0.995885	387	366	958	307	1.82	0.590	myristoylated alanine-rich C-kinase substrate
K12562	454.03	full	all	0.851391	1264	1236	8585	565	5.03	0.590	amphiphysin
K12563	453.83	full	all	0.875939	411	305	1136	397	2.32	0.589	delta-sarcoglycan
K12564	448.37	full	all	0.946849	391	347	1085	432	2.03	0.590	gamma-sarcoglycan
K12565	166.17	domain	all	1.000000	327	319	1263	468	2.20	0.589	alpha-sarcoglycan
K12566	132.63	full	all	0.991321	588	514	1674	380	3.19	0.590	beta-sarcoglycan
K12567	509.07	domain	all	0.897574	810	809	174022	11606	6.84	0.590	titin [EC:2.7.11.1]
K12568	1858.37	domain	all	0.948199	392	389	2987	1327	1.12	0.591	myosin-binding protein C, cardiac-type
K12569	111.73	full	all	0.968321	327	308	1507	334	5.58	0.590	emerin
K12570	423.30	full	trim	0.270002	35	32	456	306	1.86	0.590	streptomycin 6-kinase [EC:2.7.1.72]
K12571	156.97	full	all	0.997448	799	782	9150	1220	4.14	0.590	PAB-dependent poly(A)-specific ribonuclease subunit 2 [EC:3.1.13.4]
K12572	217.30	full	all	1.000000	792	751	5785	815	4.35	0.590	PAB-dependent poly(A)-specific ribonuclease subunit 3
K12573	472.00	full	all	0.962864	6389	5528	8839	849	5.31	0.590	ribonuclease R [EC:3.1.13.1]
K12574	123.37	domain	all	0.997852	6790	5592	3637	658	6.85	0.590	ribonuclease J [EC:3.1.-.-]
K12575	123.33	domain	all	1.000000	26	26	1418	779	4.06	0.590	kinetochore protein SLK19
K12576	-	-	-	-	2	2	182	182	0.45	0.594	sporulation-specific protein 12
K12577	340.33	full	all	1.000000	21	21	827	494	1.66	0.590	DNA replication fork-blocking protein FOB1
K12578	353.77	full	all	1.000000	38	38	1253	696	2.78	0.590	DNA damage checkpoint protein LCD1
K12579	253.13	full	all	0.972544	150	132	473	220	1.22	0.589	interferon-stimulated gene 20 kDa protein [EC:3.1.13.1]
K12580	115.47	full	all	0.997241	1133	1092	6674	907	5.69	0.590	CCR4-NOT transcription complex subunit 3
K12581	97.87	full	all	0.997096	2948	2238	5647	524	5.87	0.590	CCR4-NOT transcription complex subunit 7/8
K12582	168.23	full	all	0.995814	636	475	823	371	3.91	0.590	dTDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase [EC:2.4.1.325]
K12583	349.20	full	all	0.980742	934	847	1536	542	3.83	0.590	phosphatidylinositol alpha 1,6-mannosyltransferase [EC:2.4.1.-]
K12584	124.57	full	all	0.990403	793	774	3215	466	3.98	0.590	m7GpppX diphosphatase [EC:3.6.1.59]
K12585	959.67	full	all	0.988803	869	855	4140	1121	1.91	0.590	exosome complex exonuclease DIS3/RRP44 [EC:3.1.13.-]
K12586	230.17	domain	all	0.936601	972	900	3023	378	7.15	0.590	exosome complex component RRP43
K12587	234.40	full	all	0.906473	882	823	1731	516	5.33	0.590	exosome complex component MTR3
K12589	225.83	full	all	0.904405	1249	1165	2352	432	5.82	0.590	exosome complex component RRP42
K12590	163.17	full	all	0.952721	898	841	1391	314	8.05	0.590	exosome complex component RRP46
K12591	432.90	full	all	0.975909	1080	1065	7102	921	6.41	0.590	exosome complex exonuclease RRP6 [EC:3.1.13.-]
K12592	45.77	full	all	0.995440	1002	879	1504	281	11.36	0.590	exosome complex protein LRP1
K12593	42.57	full	all	0.993814	799	725	1112	249	7.33	0.590	M-phase phosphoprotein 6, animal type
K12594	55.17	full	all	0.985507	36	36	398	162	3.55	0.590	M-phase phosphoprotein 6, fungi type
K12595	735.80	domain	all	0.686275	4	4	822	741	0.78	0.589	superkiller protein 7
K12596	854.77	domain	all	0.807692	17	17	911	633	0.78	0.592	poly(A) RNA polymerase
K12597	96.83	domain	all	0.984960	649	640	4838	530	10.11	0.590	protein AIR1/2
K12598	1065.93	full	all	0.991527	1183	1133	6101	1354	1.89	0.591	ATP-dependent RNA helicase DOB1 [EC:3.6.4.13]
K12599	1139.10	full	all	0.995084	832	818	5796	1742	2.29	0.590	antiviral helicase SKI2 [EC:3.6.4.13]
K12600	291.27	domain	all	0.996005	882	876	6561	1521	9.13	0.590	superkiller protein 3
K12601	266.57	domain	all	0.990991	112	112	1289	589	2.20	0.590	superkiller protein 8
K12602	248.97	domain	all	0.971837	892	710	1971	390	3.85	0.590	WD repeat-containing protein 61
K12603	296.20	domain	all	0.969500	1767	1483	8973	604	4.33	0.590	CCR4-NOT transcription complex subunit 6 [EC:3.1.13.4]
K12604	276.57	full	all	0.999518	1099	1035	15355	2396	5.38	0.590	CCR4-NOT transcription complex subunit 1
K12605	106.97	full	all	0.988947	1252	1046	6331	559	7.60	0.590	CCR4-NOT transcription complex subunit 2
K12606	50.53	full	all	0.999543	1442	1093	3196	413	3.71	0.590	CCR4-NOT transcription complex subunit 9
K12607	119.60	full	all	0.996255	836	798	4196	793	4.79	0.590	CCR4-NOT transcription complex subunit 10
K12608	145.80	domain	trim	0.996073	542	502	1328	397	2.72	0.590	CCR4-NOT complex subunit CAF16
K12609	270.97	full	all	1.000000	151	150	5665	1069	4.89	0.590	CCR4-NOT transcriptional complex subunit CAF120
K12610	431.73	full	all	0.967664	397	384	1612	681	3.85	0.590	mRNA-decapping enzyme 1A [EC:3.-.-.-]
K12611	278.03	domain	all	0.633585	967	931	4029	424	4.61	0.590	mRNA-decapping enzyme 1B [EC:3.-.-.-]
K12612	97.70	domain	trim	0.964556	45	36	284	190	0.90	0.590	mRNA-decapping enzyme subunit 1
K12613	101.17	full	all	0.992237	1029	963	6721	555	4.53	0.590	mRNA-decapping enzyme subunit 2 [EC:3.6.1.62]
K12614	440.97	domain	all	0.987701	1418	1149	2675	575	2.12	0.590	ATP-dependent RNA helicase DDX6/DHH1 [EC:3.6.4.13]
K12615	173.27	full	all	0.997831	742	689	3480	530	4.34	0.590	enhancer of mRNA-decapping protein 3
K12616	249.30	full	all	1.000000	845	827	6917	1280	5.09	0.590	enhancer of mRNA-decapping protein 4
K12617	316.10	full	all	0.940229	1234	1197	6487	751	8.76	0.590	DNA topoisomerase 2-associated protein PAT1
K12618	869.53	full	all	0.972352	768	763	8749	1467	3.20	0.590	5'-3' exoribonuclease 1 [EC:3.1.13.-]
K12619	793.03	domain	all	0.946405	940	914	6260	990	2.90	0.590	5'-3' exoribonuclease 2 [EC:3.1.13.-]
K12620	96.40	full	all	0.973936	1157	821	1378	322	5.55	0.590	U6 snRNA-associated Sm-like protein LSm1
K12621	64.00	full	trim	0.965589	941	464	920	210	3.13	0.590	U6 snRNA-associated Sm-like protein LSm2
K12622	84.33	full	all	0.987851	1169	655	806	167	3.13	0.590	U6 snRNA-associated Sm-like protein LSm3
K12623	92.77	full	all	0.985730	1065	770	1217	208	4.05	0.590	U6 snRNA-associated Sm-like protein LSm4
K12624	65.53	full	all	0.997230	1067	545	763	189	3.65	0.590	U6 snRNA-associated Sm-like protein LSm5
K12625	95.70	domain	all	0.970618	1053	504	565	162	4.06	0.590	U6 snRNA-associated Sm-like protein LSm6
K12626	90.60	full	all	0.977628	1048	700	983	185	4.37	0.590	U6 snRNA-associated Sm-like protein LSm7
K12627	88.90	full	all	0.959786	1022	600	878	169	4.00	0.590	U6 snRNA-associated Sm-like protein LSm8
K12628	-	-	-	-	1	1	338	338	0.38	0.586	puromycin biosynthesis protein Pur10 [EC:1.-.-.-]
K12629	-	-	-	-	2	1	152	152	0.38	0.592	puromycin biosynthesis protein Pur7 [EC:3.-.-.-]
K12630	-	-	-	-	2	1	429	429	0.39	0.587	puromycin biosynthesis protein Pur4 [EC:2.-.-.-]
K12631	-	-	-	-	2	1	772	772	0.39	0.592	puromycin biosynthesis protein Pur6
K12632	-	-	-	-	2	1	199	199	0.39	0.593	puromycin N-acetyltransferase [EC:2.3.-.-]
K12633	-	-	-	-	1	1	228	228	0.39	0.587	N-methyl-transferase [EC:2.1.1.-]
K12634	-	-	-	-	1	1	273	273	0.39	0.585	puromycin biosynthesis protein Pur3
K12635	-	-	-	-	2	1	376	376	0.39	0.585	O-demethylpuromycin O-methyltransferase [EC:2.1.1.38]
K12636	-	-	-	-	1	1	485	485	0.39	0.585	N-acetylpuromycin N-acetylhydrolase
K12637	789.73	full	all	0.978870	157	146	983	485	0.69	0.590	3-epi-6-deoxocathasterone 23-monooxygenase [EC:1.14.14.147]
K12638	806.87	full	all	0.912842	169	161	1141	504	0.78	0.588	3-epi-6-deoxocathasterone 23-monooxygenase [EC:1.14.14.147]
K12639	615.00	full	all	0.979987	215	203	1057	492	0.94	0.591	steroid 22S-hydroxylase [EC:1.14.14.178]
K12640	1058.93	full	all	0.948718	22	21	497	465	0.42	0.588	brassinosteroid 6-oxygenase / brassinolide synthase [EC:1.14.14.179 1.14.14.180]
K12641	804.30	full	all	0.902738	493	463	2400	724	3.73	0.590	lamin A/C
K12642	625.73	domain	all	0.980426	372	366	2423	915	2.18	0.590	plakophilin 2
K12643	-	-	-	-	4	2	360	360	0.39	0.585	anthranilate N-methyltransferase [EC:2.1.1.111]
K12644	584.87	domain	all	0.667140	6	3	391	391	0.54	0.591	acridone synthase [EC:2.3.1.159]
K12645	745.23	full	all	0.993197	76	75	535	456	0.82	0.588	epi-isozizaene 5-monooxygenase / beta-farnesene synthase [EC:1.14.15.39 4.2.3.47]
K12646	881.67	full	all	0.832491	393	386	5464	1345	5.57	0.590	ATP-dependent RNA helicase DDX58 [EC:3.6.4.13]
K12647	935.63	domain	all	0.909089	441	438	4057	1104	4.51	0.590	interferon-induced helicase C domain-containing protein 1 [EC:3.6.4.13]
K12648	105.00	domain	all	0.989898	350	346	2879	616	7.28	0.590	mitochondrial antiviral-signaling protein
K12649	985.97	full	all	0.970640	378	368	3504	1290	2.25	0.590	ATP-dependent RNA helicase DHX58 [EC:3.6.4.13]
K12650	183.30	full	all	0.998639	383	368	1135	466	2.68	0.590	TRAF family member-associated NF-kappa-B activator
K12651	271.23	full	all	1.000000	382	357	969	464	1.82	0.590	5-azacytidine-induced protein 2
K12652	253.20	full	all	0.997455	409	396	2318	632	2.32	0.590	TANK-binding kinase 1-binding protein
K12653	725.07	domain	trim	0.998628	369	364	1746	954	0.84	0.589	NLR family member X1
K12654	89.57	full	all	1.000000	512	503	2606	563	6.39	0.590	transmembrane protein 173
K12655	230.73	full	trim	0.982904	743	678	3798	874	4.45	0.590	OTU domain-containing protein 5 [EC:3.4.19.12]
K12656	140.87	full	all	0.998464	380	327	792	381	2.40	0.589	suppressor of IKK-epsilon
K12657	665.67	full	all	0.993618	1073	1024	3262	1259	1.98	0.590	delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]
K12658	358.83	full	all	0.991133	1178	1022	722	348	1.37	0.590	4-hydroxyproline epimerase [EC:5.1.1.8]
K12659	818.23	full	all	1.000000	105	104	2385	1065	1.08	0.590	N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:1.2.1.38 2.7.2.8]
K12660	362.40	full	all	0.776471	246	126	410	259	3.25	0.590	2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53]
K12661	421.00	full	trim	0.829291	593	472	977	426	3.74	0.590	L-rhamnonate dehydratase [EC:4.2.1.90]
K12662	249.30	domain	all	0.995045	998	912	3587	625	3.00	0.590	U4/U6 small nuclear ribonucleoprotein PRP4
K12663	213.10	full	all	0.978991	922	885	2201	416	3.46	0.590	Delta3,5-Delta2,4-dienoyl-CoA isomerase [EC:5.3.3.21]
K12664	714.83	domain	trim	0.930317	387	325	1227	535	1.26	0.591	cytochrome P450 family 26 subfamily B [EC:1.14.14.-]
